Year,School.Name,Medical,Competition.Guarantees,Recruiting,Game.Expenses.and.Travel,Other.Expenses,Facilities.and.Equipment,Coaches.Compensation,Athletic.Student.Aid,Corporate.Sponsorship..Advertising..Licensing,Donor.Contributions,NCAA.Conference.Distributions..Media.Rights..and.Post.Season.Football,Ticket.Sales,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,NCAA Subdivision,quantiles,Total.Points
2014,University of Florida,2782736.244,2532414.671,1688256.8469999998,12614161.37,14545046.95,20079076.91,20486176.17,9932969.048,9356861.416000001,43555982.01,29473321.82,23293658.68,31879,6313,28591,Football Bowl Subdivision,3,215
2014,The Ohio State University,1387648.9340000001,4119906.212,1684869.6840000001,14657586.73,14274050.61,8538895.556,26825784.17,17064196.84,13147540.67,28591322.26,31017383.47,56776430.33,43733,10037,26537,Football Bowl Subdivision,3,117
2014,Michigan State University,1450349.4640000002,3108393.5489999996,1463737.9330000002,11880622.14,15422113.28,26731530.61,21172817.24,12650154.92,7601984.622,30135650.54,32935106.65,24409450.54,38395,13200,34965,Football Bowl Subdivision,2,59
2014,University of Michigan,626764.0162,2774786.9039999996,2085467.333,14741006.64,17985945.12,35872124.57,21983500.85,19835098.8,22429618.89,35754557.27,29677216.65,54005078.23,28217,13486,41906,Football Bowl Subdivision,2,59
2014,The University of Texas at Austin,2042512.918,2084883.375,1484221.093,27334863.28,21991753.32,27599054.89,25725703.43,10992084.48,32397318.27,38153009.19,24272150.3,54396760.38,38914,9830,34836,Football Bowl Subdivision,3,82
2014,The University of Alabama,2508330.433,3105932.001,2223964.883,10942094.17,17656905.73,25413197.36,23479058.45,14125386.5,15685134.93,32641552.88,37455614.57,37733605.24,29851,9826,24950,Football Bowl Subdivision,2,48
2014,University of Oklahoma,1338445.35,2296261.192,2044725.0669999998,15986790.12,10567102.5,30519692.56,22221572.47,11509217.36,12975644.95,33824082.29,31612505.24,37450670.18,20538,9495,22269,Football Bowl Subdivision,2,48
2014,Indiana University-Bloomington,1505189.871,4032358.039,1861010.2619999999,7488776.739,8858316.872000001,11337509.19,15784735.37,13000381.07,10665162.94,17024204.8,30488771.14,17264512.9,32252,10388,33241,Football Bowl Subdivision,1,1
2014,University of Akron,374144.1203,669626.1742,437246.1223,2674397.724,3452779.097,7296630.017000001,5703710.5,6935378.607999999,985172.6817,2104832.253,2573743.938,1710880.175,18148,10260,18792,Football Bowl Subdivision,1,2
2014,Eastern Washington University,238746.8231,48237.41615,161510.1835,1729587.1269999999,1720604.708,1936448.39,2444161.895,3489118.356,108746.0741,736748.9747,607658.6335,348890.9509,12402,7972,21066,Football Championship Subdivision,2,24
2014,University of Louisville,838304.0444,2153094.001,1393252.301,9850087.475,13468121.8,14719726.62,21172820.28,10747955.3,5025119.141,29785552.13,10605647.83,27300709.81,15038,10432,24320,Football Bowl Subdivision,1,19
2014,University of Kentucky,951789.7133,2617716.225,2033781.925,11586274.55,13287265.95,16466691.58,20537570.61,11207844.01,5982369.272999999,19321935.01,31333403.43,33246737.8,21725,10616,22888,Football Bowl Subdivision,3,77
2014,University of California-Berkeley,1449267.7219999998,1538117.636,1158370.148,9854070.762,24800363.19,7754916.899,14871737.33,10001176.63,9599391.804,23006758.58,22905677.98,14416198.91,27126,12972,35850,Football Bowl Subdivision,3,68
2014,University of South Carolina,944514.562,1609782.3369999998,1214680.59,13307064.79,13347715.81,17676705.57,18530095.21,12602466.99,4326813.096,30621078.32,23483591.22,21641695.47,24623,11158,29440,Football Bowl Subdivision,3,108
2014,Louisiana State University and Agricultural & Mechanical College,576091.4114,3119413.74,1387466.447,13010990.67,33151661.02,22030481.13,21431672.11,12873329.51,3485277.003,50015227.52,30284178.8,38207698.54,24452,8750,26467,Football Bowl Subdivision,3,94
2014,Mississippi State University,897647.8265,2250523.849,1057250.006,7136598.993,5709739.67,10373978.46,11988845.09,7307601.545,1010964.188,14135526.7,26056253.42,12633510.07,15800,7140,18478,Football Bowl Subdivision,1,9
2014,California State University-Long Beach,231588.2608,61011.51123,240343.585,1763887.6,2841185.8389999997,1644161.8869999999,4317514.366,2581079.918,166097.7057,2329232.551,611617.5892,624135.1885,31493,6452,17612,No Football Subdivision,1,9
2014,Auburn University,1048804.91,5179793.156,2746965.736,11358252.9,18670986.39,31289578.14,20652750.37,12170471.43,5348446.695,39953595.96,30179481.91,30245651.72,20514,10200,27384,Football Bowl Subdivision,2,37
2014,University of California-Los Angeles,409785.8732,1765055.5180000002,1325153.1940000001,13220940.01,10966245.32,12232261.55,19023871.78,12306079.6,11813330.04,16453418.69,25954530.05,18053723.86,29627,12705,35583,Football Bowl Subdivision,3,123
2014,University of Minnesota-Twin Cities,917598.7326,7480390.444,1648109.6909999999,14725388.79,19266989.17,24983791.09,12304876.2,10785094.46,10237738.68,10475048.92,29007143.39,28889337.84,30135,13560,20810,Football Bowl Subdivision,2,28
2014,Northern Arizona University,229363.9461,68509.70227000001,295068.4165,1884552.108,1425404.495,877814.5232,3092339.755,5301693.507,717650.6888,378729.6149,664066.4014,404074.0278,23189,9990,22510,Football Championship Subdivision,1,8
2014,Oklahoma State University,764987.8354,1115682.367,733428.7238,7449919.158,31977726.75,32298528.89,15502451.18,9181839.078,2641683.875,37538959.46,29107364.27,24085064.56,20636,7442,20027,Football Bowl Subdivision,1,6
2014,University of Georgia,1867259.43,2030673.562,1749055.457,13171703.99,8163684.9,24415065.05,17080169.53,11199438.46,8678545.815,32306899.98,28280722.17,22783434.96,26738,10836,29046,Football Bowl Subdivision,3,71
